Time Stamp (ns since boot),xGyro (rad/s),yGyro (rad/s),zGyro (rad/s), xAccel (g), yAccel (g), zAccel (g), xMag (uT), yMag (uT), zMag (uT), Temp (C), Roll (deg), Pitch (deg), Yaw (deg), Yaw Accuracy (deg)
1002366252371,-0.0010154633,-0.0016812535,0.0021470406,0.40462008,0.05267244,9.794679,-33.428963,3.6201973,-71.38854,N/A,-2.2968504,0.15277775,88.48741,180.0
1002371250073,4.980111E-5,4.4927528E-4,1.6511598E-5,0.4213795,0.021547815,9.792285,-33.428963,3.6201973,-71.38854,N/A,-2.296249,0.15360364,88.48746,180.0
1002376249770,4.980111E-5,0.002579804,-0.0031792817,0.4285621,0.019153614,9.835381,-33.63391,3.8089724,-71.16138,N/A,-2.296249,0.15360354,88.48746,180.0
1002381247466,-0.0020807278,-0.0016812535,-0.0010487528,0.4189853,0.007182605,9.871294,-33.63391,3.8089724,-71.16138,N/A,-2.2970715,0.15308604,88.48743,180.0
1002386247186,0.0011150655,-6.1598915E-4,-0.0010487528,0.38067806,0.023942016,9.859323,-33.776768,3.9245412,-71.025314,N/A,-2.2970717,0.1530855,88.48743,180.0
1002391244919,-0.0010154633,-6.1598915E-4,1.6511598E-5,0.4309563,0.007182605,9.816227,-33.776768,3.9245412,-71.025314,N/A,-2.2973406,0.1542398,88.48749,180.0
1002396244673,0.0011150655,-0.0038117825,1.6511598E-5,0.4213795,0.02633622,9.923966,-33.68354,4.034232,-71.03393,N/A,-2.2973409,0.15423916,88.48747,180.0
1002401242443,0.0011150655,4.4927528E-4,1.6511598E-5,0.37349546,0.04309563,9.880871,-33.68354,4.034232,-71.03393,N/A,-2.2970428,0.15479751,88.4875,180.0
1002406242157,0.0011150655,4.4927528E-4,0.001081776,0.35913026,0.019153614,9.856929,-33.540554,4.022899,-71.19901,N/A,-2.2970428,0.1547974,88.4875,180.0
1002411239912,-0.0010154633,-6.1598915E-4,0.0021470406,0.39983168,0.011971008,9.840169,-33.540554,4.022899,-71.19901,N/A,-2.298075,0.15535367,88.48753,180.0
1002416240907,4.980111E-5,0.002579804,-0.0010487528,0.39264908,0.031124622,9.892841,-33.491188,3.688776,-71.53977,N/A,-2.298075,0.15535367,88.48753,180.0
1002421239371,0.00218033,0.0015145397,-0.0010487528,0.40701428,0.019153614,9.900024,-33.491188,3.688776,-71.53977,N/A,-2.300235,0.15490359,88.4875,180.0
1002426240714,0.00218033,-0.002746518,1.6511598E-5,0.39025488,0.007182605,9.91439,-33.392376,3.1552851,-71.91924,N/A,-2.300235,0.1549037,88.4875,180.0
1002431239297,4.980111E-5,-6.1598915E-4,1.6511598E-5,0.44532153,0.02633622,9.809045,-33.392376,3.1552851,-71.91924,N/A,-2.3004704,0.15411015,88.48747,180.0
1002436240694,4.980111E-5,-6.1598915E-4,1.6511598E-5,0.35673606,0.011971008,9.89763,-33.215282,2.773228,-72.249504,N/A,-2.3004706,0.15410993,88.48747,180.0
1002441239337,0.0011150655,-6.1598915E-4,0.001081776,0.39983168,0.021547815,9.878476,-33.215282,2.773228,-72.249504,N/A,-2.3025432,0.15340212,88.48744,180.0
1002446240735,4.980111E-5,4.4927528E-4,1.6511598E-5,0.37588966,0.021547815,9.794679,-33.215282,2.773228,-72.249504,N/A,-2.3025432,0.15340191,88.48743,180.0
1002451239359,0.00218033,0.0015145397,1.6511598E-5,0.4141969,0.038307227,9.931149,-33.04328,2.6059356,-72.468605,N/A,-2.3003993,0.15370993,88.48747,180.0
1002456240753,4.980111E-5,-6.1598915E-4,1.6511598E-5,0.38307226,-0.038307227,9.861717,-33.04328,2.6059356,-72.468605,N/A,-2.3003995,0.15370983,88.48746,180.0
1002461240530,0.00218033,0.0015145397,1.6511598E-5,0.39743748,0.007182605,9.832987,-32.870644,2.5000982,-72.613525,N/A,-2.3003807,0.15335885,88.48746,180.0
1002466240307,0.0011150655,-6.1598915E-4,0.001081776,0.38307226,0.02873042,9.849746,-32.870644,2.5000982,-72.613525,N/A,-2.3003807,0.15335843,88.48744,180.0
